,name,ARI,AMI,FMI,RI
28,151676_l_645_raw_res0.3_euclidean_NA_dummy_add_PEalpha1.0_k6_NA_zdim3,0.713160122,0.731360966,0.762483803,0.918431759
42,151676_l_659_raw_res0.3_euclidean_NA_dummy_add_PEalpha1.5_k6_NA_zdim3,0.734154197,0.741986991,0.779290469,0.925068476
7,151676_l_624_raw_res0.3_euclidean_NA_dummy_add_PEalpha0.2_k6_NA_zdim3,0.734788506,0.74219954,0.779879665,0.925171661
8,151676_l_625_raw_res0.3_euclidean_NA_dummy_add_PEalpha0.2_k6_NA_zdim10,0.685383471,0.712699446,0.739809877,0.910163702
33,151676_l_650_raw_res0.3_euclidean_NA_dummy_add_PEalpha1.0_k6_NA_zdim128,0.732216841,0.738134611,0.778342037,0.923777699
29,151676_l_646_raw_res0.3_euclidean_NA_dummy_add_PEalpha1.0_k6_NA_zdim10,0.717770672,0.734389459,0.766452924,0.919583763
50,151676_l_667_raw_res0.3_euclidean_NA_dummy_add_PEalpha2.0_k6_NA_zdim10,0.702947278,0.72208324,0.754216733,0.915317598
19,151676_l_636_raw_res0.3_euclidean_NA_dummy_add_PEalpha0.3_k6_NA_zdim128,0.742522434,0.747421767,0.786473126,0.927151297
36,151676_l_653_raw_res0.3_euclidean_NA_dummy_add_PEalpha1.2_k6_NA_zdim10,0.71935764,0.733495909,0.76782791,0.919972406
1,151676_l_618_raw_res0.3_euclidean_NA_dummy_add_PEalpha0.1_k6_NA_zdim10,0.734678443,0.741366159,0.780194014,0.92467805
0,151676_l_617_raw_res0.3_euclidean_NA_dummy_add_PEalpha0.1_k6_NA_zdim3,0.684796704,0.711343582,0.739105291,0.910232197
35,151676_l_652_raw_res0.3_euclidean_NA_dummy_add_PEalpha1.2_k6_NA_zdim3,0.727322593,0.74332496,0.774293703,0.922378473
14,151676_l_631_raw_res0.3_euclidean_NA_dummy_add_PEalpha0.3_k6_NA_zdim3,0.738605767,0.749100912,0.783671964,0.925557096
30,151676_l_647_raw_res0.3_euclidean_NA_dummy_add_PEalpha1.0_k6_NA_zdim16,0.719500877,0.732653858,0.768006899,0.919950708
31,151676_l_648_raw_res0.3_euclidean_NA_dummy_add_PEalpha1.0_k6_NA_zdim32,0.763098189,0.759245982,0.803916217,0.932574142
11,151676_l_628_raw_res0.3_euclidean_NA_dummy_add_PEalpha0.2_k6_NA_zdim64,0.723919017,0.739625566,0.771386996,0.921502917
6,151676_l_623_raw_res0.3_euclidean_NA_dummy_add_PEalpha0.1_k6_NA_zdim256,0.748296253,0.753981013,0.791252176,0.928796707
34,151676_l_651_raw_res0.3_euclidean_NA_dummy_add_PEalpha1.0_k6_NA_zdim256,0.742713815,0.746137241,0.787246254,0.926552985
52,151676_l_669_raw_res0.3_euclidean_NA_dummy_add_PEalpha2.0_k6_NA_zdim32,0.746524717,0.748993014,0.790318819,0.927722922
21,151676_l_638_raw_res0.3_euclidean_NA_dummy_add_PEalpha0.5_k6_NA_zdim3,0.721306796,0.728149069,0.769376459,0.92059648
48,151676_l_665_raw_res0.3_euclidean_NA_dummy_add_PEalpha1.5_k6_NA_zdim256,0.758639515,0.761158921,0.799906023,0.931640571
24,151676_l_641_raw_res0.3_euclidean_NA_dummy_add_PEalpha0.5_k6_NA_zdim32,0.748707196,0.748384255,0.791787473,0.928697592
41,151676_l_658_raw_res0.3_euclidean_NA_dummy_add_PEalpha1.2_k6_NA_zdim256,0.751437912,0.751378795,0.794052252,0.929471175
54,151676_l_671_raw_res0.3_euclidean_NA_dummy_add_PEalpha2.0_k6_NA_zdim128,0.745256037,0.748848214,0.78866513,0.928011423
12,151676_l_629_raw_res0.3_euclidean_NA_dummy_add_PEalpha0.2_k6_NA_zdim128,0.741304317,0.748982071,0.785277549,0.927022875
51,151676_l_668_raw_res0.3_euclidean_NA_dummy_add_PEalpha2.0_k6_NA_zdim16,0.733310896,0.742132635,0.779169419,0.924172504
25,151676_l_642_raw_res0.3_euclidean_NA_dummy_add_PEalpha0.5_k6_NA_zdim64,0.748059233,0.753231297,0.79134621,0.928411175
53,151676_l_670_raw_res0.3_euclidean_NA_dummy_add_PEalpha2.0_k6_NA_zdim64,0.747930602,0.753054959,0.790785586,0.928883168
17,151676_l_634_raw_res0.3_euclidean_NA_dummy_add_PEalpha0.3_k6_NA_zdim32,0.703641949,0.722032186,0.755163773,0.915130805
37,151676_l_654_raw_res0.3_euclidean_NA_dummy_add_PEalpha1.2_k6_NA_zdim16,0.742568053,0.746267331,0.786997659,0.926640446
44,151676_l_661_raw_res0.3_euclidean_NA_dummy_add_PEalpha1.5_k6_NA_zdim16,0.742053968,0.745611639,0.78630091,0.926778713
49,151676_l_666_raw_res0.3_euclidean_NA_dummy_add_PEalpha2.0_k6_NA_zdim3,0.739239845,0.741638478,0.783669212,0.926315915
18,151676_l_635_raw_res0.3_euclidean_NA_dummy_add_PEalpha0.3_k6_NA_zdim64,0.725769624,0.74090406,0.772830593,0.922126302
23,151676_l_640_raw_res0.3_euclidean_NA_dummy_add_PEalpha0.5_k6_NA_zdim16,0.747653183,0.74737894,0.790912186,0.928400214
