,name,ARI,AMI,FMI,RI
22,2-8_o_807_raw_res0.3_euclidean_NA_dummy_add_PEalpha0.5_k6_NA_zdim10,0.442766533,0.449270594,0.559402597,0.815587974
5,2-8_o_790_raw_res0.3_euclidean_NA_dummy_add_PEalpha0.1_k6_NA_zdim128,0.177507849,0.283642459,0.354036402,0.722710611
39,2-8_o_824_raw_res0.3_euclidean_NA_dummy_add_PEalpha1.2_k6_NA_zdim64,0.178110448,0.280852931,0.360247225,0.716310775
14,2-8_o_799_raw_res0.3_euclidean_NA_dummy_add_PEalpha0.3_k6_NA_zdim3,0.214754019,0.261474709,0.382360408,0.736335579
2,2-8_o_787_raw_res0.3_euclidean_NA_dummy_add_PEalpha0.1_k6_NA_zdim16,0.32079009,0.365156501,0.463316734,0.774769717
10,2-8_o_795_raw_res0.3_euclidean_NA_dummy_add_PEalpha0.2_k6_NA_zdim32,0.371847149,0.419039555,0.505432993,0.789646334
21,2-8_o_806_raw_res0.3_euclidean_NA_dummy_add_PEalpha0.5_k6_NA_zdim3,0.362419068,0.396711246,0.500431763,0.783746374
54,2-8_o_839_raw_res0.3_euclidean_NA_dummy_add_PEalpha2.0_k6_NA_zdim128,0.113224213,0.198089475,0.312091121,0.691075028
23,2-8_o_808_raw_res0.3_euclidean_NA_dummy_add_PEalpha0.5_k6_NA_zdim16,0.385757905,0.432363777,0.515631568,0.795175123
34,2-8_o_819_raw_res0.3_euclidean_NA_dummy_add_PEalpha1.0_k6_NA_zdim256,0.065760991,0.131630027,0.305148592,0.637001425
17,2-8_o_802_raw_res0.3_euclidean_NA_dummy_add_PEalpha0.3_k6_NA_zdim32,0.305934428,0.353401938,0.453609399,0.767491145
47,2-8_o_832_raw_res0.3_euclidean_NA_dummy_add_PEalpha1.5_k6_NA_zdim128,0.078895586,0.177908397,0.309170831,0.64981631
20,2-8_o_805_raw_res0.3_euclidean_NA_dummy_add_PEalpha0.3_k6_NA_zdim256,0.115806191,0.187461294,0.30756623,0.699603309
25,2-8_o_810_raw_res0.3_euclidean_NA_dummy_add_PEalpha0.5_k6_NA_zdim64,0.129477867,0.228977921,0.328287075,0.692550055
8,2-8_o_793_raw_res0.3_euclidean_NA_dummy_add_PEalpha0.2_k6_NA_zdim10,0.146733025,0.255123894,0.336140026,0.705074478
24,2-8_o_809_raw_res0.3_euclidean_NA_dummy_add_PEalpha0.5_k6_NA_zdim32,0.264642198,0.328136907,0.421311581,0.753418619
