,name,ARI,AMI,FMI,RI
49,T4857_p_890_raw_res0.3_euclidean_NA_dummy_add_PEalpha2.0_k6_NA_zdim3,0.403444752,0.497133193,0.507231108,0.829124514
42,T4857_p_883_raw_res0.3_euclidean_NA_dummy_add_PEalpha1.5_k6_NA_zdim3,0.405850892,0.500795779,0.509299513,0.829728682
21,T4857_p_862_raw_res0.3_euclidean_NA_dummy_add_PEalpha0.5_k6_NA_zdim3,0.403612537,0.496529191,0.507326079,0.829223754
23,T4857_p_864_raw_res0.3_euclidean_NA_dummy_add_PEalpha0.5_k6_NA_zdim16,0.401363315,0.475775913,0.499061385,0.836494785
31,T4857_p_872_raw_res0.3_euclidean_NA_dummy_add_PEalpha1.0_k6_NA_zdim32,0.388529332,0.466024119,0.492512559,0.827661689
7,T4857_p_848_raw_res0.3_euclidean_NA_dummy_add_PEalpha0.2_k6_NA_zdim3,0.300393592,0.372907154,0.435607333,0.783017628
25,T4857_p_866_raw_res0.3_euclidean_NA_dummy_add_PEalpha0.5_k6_NA_zdim64,0.394394475,0.502399106,0.500147155,0.826043941
54,T4857_p_895_raw_res0.3_euclidean_NA_dummy_add_PEalpha2.0_k6_NA_zdim128,0.374464111,0.453717406,0.484864966,0.818874569
14,T4857_p_855_raw_res0.3_euclidean_NA_dummy_add_PEalpha0.3_k6_NA_zdim3,0.30968653,0.387996667,0.443722211,0.785354078
52,T4857_p_893_raw_res0.3_euclidean_NA_dummy_add_PEalpha2.0_k6_NA_zdim32,0.396882402,0.474704635,0.497835684,0.832011901
17,T4857_p_858_raw_res0.3_euclidean_NA_dummy_add_PEalpha0.3_k6_NA_zdim32,0.377942959,0.47354948,0.48534477,0.822703274
33,T4857_p_874_raw_res0.3_euclidean_NA_dummy_add_PEalpha1.0_k6_NA_zdim128,0.369374929,0.469278245,0.482131996,0.815688058
32,T4857_p_873_raw_res0.3_euclidean_NA_dummy_add_PEalpha1.0_k6_NA_zdim64,0.383115588,0.467334921,0.490128401,0.823594409
45,T4857_p_886_raw_res0.3_euclidean_NA_dummy_add_PEalpha1.5_k6_NA_zdim32,0.391259605,0.499001104,0.495671389,0.827358881
43,T4857_p_884_raw_res0.3_euclidean_NA_dummy_add_PEalpha1.5_k6_NA_zdim10,0.392926605,0.466083388,0.497035679,0.827855617
29,T4857_p_870_raw_res0.3_euclidean_NA_dummy_add_PEalpha1.0_k6_NA_zdim10,0.396578095,0.47553527,0.499957077,0.829023625
27,T4857_p_868_raw_res0.3_euclidean_NA_dummy_add_PEalpha0.5_k6_NA_zdim256,0.137385672,0.260947647,0.308473731,0.722766876
41,T4857_p_882_raw_res0.3_euclidean_NA_dummy_add_PEalpha1.2_k6_NA_zdim256,0.304200739,0.406974884,0.430628153,0.793769762
22,T4857_p_863_raw_res0.3_euclidean_NA_dummy_add_PEalpha0.5_k6_NA_zdim10,0.33033263,0.388000229,0.450300185,0.803748855
6,T4857_p_847_raw_res0.3_euclidean_NA_dummy_add_PEalpha0.1_k6_NA_zdim256,0.343444848,0.445386897,0.455039364,0.814945297
53,T4857_p_894_raw_res0.3_euclidean_NA_dummy_add_PEalpha2.0_k6_NA_zdim64,0.321766525,0.393393756,0.44113894,0.803744281
47,T4857_p_888_raw_res0.3_euclidean_NA_dummy_add_PEalpha1.5_k6_NA_zdim128,0.388573882,0.482380173,0.494488331,0.825351611
3,T4857_p_844_raw_res0.3_euclidean_NA_dummy_add_PEalpha0.1_k6_NA_zdim32,0.396133827,0.500188619,0.498238668,0.830531346
8,T4857_p_849_raw_res0.3_euclidean_NA_dummy_add_PEalpha0.2_k6_NA_zdim10,0.335128821,0.421365484,0.463541081,0.794500115
16,T4857_p_857_raw_res0.3_euclidean_NA_dummy_add_PEalpha0.3_k6_NA_zdim16,0.409113991,0.496365945,0.509470776,0.833649854
34,T4857_p_875_raw_res0.3_euclidean_NA_dummy_add_PEalpha1.0_k6_NA_zdim256,0.245799887,0.307601077,0.383255051,0.775415701
38,T4857_p_879_raw_res0.3_euclidean_NA_dummy_add_PEalpha1.2_k6_NA_zdim32,0.332778349,0.411416823,0.447855627,0.809848242
9,T4857_p_850_raw_res0.3_euclidean_NA_dummy_add_PEalpha0.2_k6_NA_zdim16,0.368815122,0.47363624,0.473553027,0.825338067
55,T4857_p_896_raw_res0.3_euclidean_NA_dummy_add_PEalpha2.0_k6_NA_zdim256,0.238100658,0.405383318,0.385807681,0.761902673
5,T4857_p_846_raw_res0.3_euclidean_NA_dummy_add_PEalpha0.1_k6_NA_zdim128,0.3894532,0.484982954,0.492037188,0.829452625
36,T4857_p_877_raw_res0.3_euclidean_NA_dummy_add_PEalpha1.2_k6_NA_zdim10,0.403275852,0.493140783,0.505786186,0.830605275
46,T4857_p_887_raw_res0.3_euclidean_NA_dummy_add_PEalpha1.5_k6_NA_zdim64,0.295799797,0.366470838,0.424759519,0.789994803
12,T4857_p_853_raw_res0.3_euclidean_NA_dummy_add_PEalpha0.2_k6_NA_zdim128,0.36619055,0.463084566,0.473899276,0.821417396
11,T4857_p_852_raw_res0.3_euclidean_NA_dummy_add_PEalpha0.2_k6_NA_zdim64,0.391164555,0.507136924,0.495865859,0.827005343
50,T4857_p_891_raw_res0.3_euclidean_NA_dummy_add_PEalpha2.0_k6_NA_zdim10,0.393165961,0.463283616,0.496000361,0.829415443
13,T4857_p_854_raw_res0.3_euclidean_NA_dummy_add_PEalpha0.2_k6_NA_zdim256,0.183297317,0.2777288,0.333449531,0.754476136
40,T4857_p_881_raw_res0.3_euclidean_NA_dummy_add_PEalpha1.2_k6_NA_zdim128,0.107894199,0.210430462,0.302772111,0.685601923
4,T4857_p_845_raw_res0.3_euclidean_NA_dummy_add_PEalpha0.1_k6_NA_zdim64,0.407077512,0.50698091,0.507543735,0.833359509
48,T4857_p_889_raw_res0.3_euclidean_NA_dummy_add_PEalpha1.5_k6_NA_zdim256,0.169682475,0.306148953,0.330854764,0.738772946
20,T4857_p_861_raw_res0.3_euclidean_NA_dummy_add_PEalpha0.3_k6_NA_zdim256,0.126175772,0.248456178,0.294396147,0.726074906
37,T4857_p_878_raw_res0.3_euclidean_NA_dummy_add_PEalpha1.2_k6_NA_zdim16,0.335040129,0.412210196,0.454559412,0.804693464
51,T4857_p_892_raw_res0.3_euclidean_NA_dummy_add_PEalpha2.0_k6_NA_zdim16,0.348613024,0.421532695,0.465577023,0.808908606
39,T4857_p_880_raw_res0.3_euclidean_NA_dummy_add_PEalpha1.2_k6_NA_zdim64,0.38853482,0.468451867,0.49029741,0.830423501
19,T4857_p_860_raw_res0.3_euclidean_NA_dummy_add_PEalpha0.3_k6_NA_zdim128,0.388687932,0.467782743,0.492050941,0.828432716
26,T4857_p_867_raw_res0.3_euclidean_NA_dummy_add_PEalpha0.5_k6_NA_zdim128,0.378807332,0.46451369,0.488194654,0.820439808
30,T4857_p_871_raw_res0.3_euclidean_NA_dummy_add_PEalpha1.0_k6_NA_zdim16,0.407035855,0.502059358,0.507881754,0.832897115
44,T4857_p_885_raw_res0.3_euclidean_NA_dummy_add_PEalpha1.5_k6_NA_zdim16,0.400072291,0.497559155,0.504162791,0.828475709
1,T4857_p_842_raw_res0.3_euclidean_NA_dummy_add_PEalpha0.1_k6_NA_zdim10,0.366128521,0.424069801,0.476294615,0.818433968
10,T4857_p_851_raw_res0.3_euclidean_NA_dummy_add_PEalpha0.2_k6_NA_zdim32,0.407490099,0.487844346,0.505698774,0.836197316
24,T4857_p_865_raw_res0.3_euclidean_NA_dummy_add_PEalpha0.5_k6_NA_zdim32,0.376500172,0.470673217,0.484950518,0.821337352
35,T4857_p_876_raw_res0.3_euclidean_NA_dummy_add_PEalpha1.2_k6_NA_zdim3,0.330063814,0.391379037,0.446419617,0.808072611
15,T4857_p_856_raw_res0.3_euclidean_NA_dummy_add_PEalpha0.3_k6_NA_zdim10,0.301697446,0.383837313,0.437558093,0.78239763
2,T4857_p_843_raw_res0.3_euclidean_NA_dummy_add_PEalpha0.1_k6_NA_zdim16,0.399302712,0.485661855,0.500982443,0.831289547
18,T4857_p_859_raw_res0.3_euclidean_NA_dummy_add_PEalpha0.3_k6_NA_zdim64,0.398530222,0.48868583,0.500927733,0.830358292
0,T4857_p_841_raw_res0.3_euclidean_NA_dummy_add_PEalpha0.1_k6_NA_zdim3,0.290275469,0.386221789,0.430098467,0.776561365
28,T4857_p_869_raw_res0.3_euclidean_NA_dummy_add_PEalpha1.0_k6_NA_zdim3,0.291307566,0.32768463,0.412878817,0.798744966
